Sem replicação
1x Servidor
1x Client (2 threads cada)
Nanosegundos
Intervalo latency diferença nanosegundos

1655066768696571608 0
1655066769697276396 0
1655066770701546723 0
1655066771702731604 9
1655066772703858965 7
1655066773705064641 8
1655066774705238348 9
1655066775706353671 8
1655066776707009154 6
1655066777708289517 8
1655066778709256124 9
1655066779710353105 6
1655066780713253708 10
1655066781714552790 8
1655066782715639791 6
1655066783716787963 9
1655066784717455701 9
1655066785718517048 8


1655066779723456008 13912366
1655066779930652489 6176236
1655066780134907314 3972243
1655066780423025235 5920598
1655066780654558842 2186900
1655066780882615468 2677078
1655066781161575552 5665125
1655066781364210670 2302312
1655066781651751923 2802760
1655066781995481151 7277394
1655066782279602891 6685364
1655066782579641695 5964670
1655066782790223810 5116475
1655066783000837982 10222369
1655066783206908925 5640244
1655066783412978508 5668559
1655066783645443520 2332773
1655066783896786364 4188970
1655066784170007982 6169662
1655066784431097326 4943349
1655066784681188559 3654309
1655066784913038725 2319317
1655066785136858018 2701233
1655066785339583593 2414802
1655066785574686186 9836486
1655066785779268455 2471602
1655066785987457368 7794846
1655066786240841034 3968709
1655066786476717433 5589576

#############################################

Sem replicação
1x Servidor
2x Client (2 threads cada)
Nanosegundos
Intervalo latency diferença nanosegundos

1655074872369029833 5113301
1655074872593856446 2419660
1655074872852715299 1912749
1655074873055173210 2180173
1655074873274023064 13172495
1655074873476772829 2272374
1655074873700859304 2461818
1655074874003753935 2651542
1655074874309608651 3298622
1655074874545816709 35836568
1655074874756786941 5484017
1655074874962604547 5410758
1655074875207360813 1976607
1655074875476102306 13302344
1655074875685670365 9222136
1655074875933428426 2284148
1655074876174714223 2712673
1655074876379065312 4022484
1655074876581321722 1970887
1655074876887079317 3277844
1655074877124933955 32421775
1655074877424959555 6037581
1655074877637931437 12662228
1655074877922248811 3081589
1655074878206444270 4789365
1655074878413867906 7093350
1655074878668779449 2208606
1655074878874003009 4823371
1655074879081838462 7428120
1655074879291846778 6577183
1655074879538008954 2457888
1655074879768578822 2454246
1655074880064850760 3389776
1655074880267370014 2110886
1655074880475277900 7579520
1655074880804853332 3713846
1655074881012048409 4786755
1655074881395894252 7627265
1655074881667999267 2077598
1655074881899968232 31552642
1655074882111567623 11038352
1655074882420501556 10706499
1655074882664020522 6399286
1655074882929714804 3078894
1655074883168747375 2759136
1655074883373653741 3406810
1655074883633880476 2362769

1655074857953869887 0
1655074858954933118 4
1655074859955875082 8
1655074860956820996 10
1655074861957828466 10
1655074862958939933 18
1655074863960004637 17
1655074864961269072 17
1655074865962394693 20
1655074866963498002 16
1655074867964594078 16
1655074868965284320 18
1655074869966360609 18
1655074870967435189 17
1655074871968479504 17
1655074872969259326 17
1655074873970312664 18
1655074874971423270 17
1655074875972456178 17
1655074876973301983 16
1655074877974350671 17
1655074878975487114 17
1655074879976607185 17
1655074880977257983 17
1655074881978357170 16
1655074882979469562 17


#####

Sem replicação
1x Servidor
3x Client (2 threads cada)
Nanosegundos
Intervalo latency diferença nanosegundos

1655074941969623833 16787531
1655074942216016199 2060665
1655074942488595652 3336622
1655074942727681077 3165662
1655074943025751107 9416150
1655074943249613113 2279341
1655074943475334475 2123816
1655074943702439722 2118284
1655074943906555659 3069232
1655074944133026055 2229759
1655074944354571662 16149996
1655074944585990375 2359238
1655074944874237910 2306041
1655074945078436091 2031217
1655074945292277013 5828132
1655074945565930409 7259031
1655074945770587367 3448850
1655074945984181306 13022986
1655074946220539665 2155331
1655074946428711987 2682279
1655074946653622816 2086353
1655074946881025064 5200064
1655074947140613338 10124794
1655074947372247869 2402834
1655074947575662511 2377184
1655074947803992252 2063818
1655074948008521960 3073930
1655074948258496018 2179567
1655074948495373414 2327197
1655074948721055048 2422185
1655074948922883224 1563534
1655074949154420728 2595256
1655074949399755474 3586295
1655074949775836868 3948645
1655074950132684193 3837992
1655074950340450830 4673258
1655074950579483891 38681847
1655074950787214407 5353508
1655074950994002348 6404327
1655074951218722011 2030784
1655074951487714236 2204824
1655074951739519455 46073362
1655074951946095809 6228922
1655074952237881407 11761403
1655074952520555673 6254742
1655074952795208648 5787427
1655074953065776702 4436012
1655074953272834318 6285190
1655074953479663252 6401090
1655074953755389010 5463145
1655074953978656679 2578052
1655074954182611292 3657259
1655074954435236716 44955232
1655074954640360084 3196188
1655074954890657456 6289221
1655074955123396915 2051181
1655074955325646892 1914695
1655074955527974305 1985788
1655074955766131457 2671748
1655074955969486438 2506816
1655074956190877344 15094225
1655074956416344022 2827772
1655074956641022272 19270039

1655074921460599856 0
1655074922461841209 0
1655074923462946435 0
1655074924464067486 0
1655074925465120475 6
1655074926465501263 8
1655074927466624080 8
1655074928467753600 10
1655074929468888729 14
1655074930469811690 18
1655074931470896020 19
1655074932472011150 19
1655074933473287555 23
1655074934474401451 27
1655074935475293491 27
1655074936476229670 29
1655074937477546997 26
1655074938478494306 29
1655074939479613389 26
1655074940480896509 28
1655074941481237879 25
1655074942482454848 26
1655074943483457084 28
1655074944483664100 25
1655074945485521576 27
1655074946486727268 28
1655074947488100671 26
1655074948489178463 28
1655074949489935194 26
1655074950491090927 22
1655074951492180811 25
1655074952493314759 21
1655074953494293404 25
1655074954495466312 24
1655074955496568945 26
1655074956497474186 28
